step, loss, perplexity, accuracy
0, 2.890372, 18.00, 0.040000
5000, 2.212022, 9.13, 0.270000
10000, 2.110737, 8.25, 0.300000
15000, 1.972194, 7.19, 0.300000
20000, 1.977010, 7.22, 0.340000
25000, 1.970402, 7.17, 0.350000
30000, 1.883553, 6.58, 0.340000
35000, 1.883009, 6.57, 0.340000
40000, 1.897990, 6.67, 0.330000
45000, 1.886320, 6.60, 0.340000
