lut,table,total_updates,updated_rows,total_rows,mean_updates_per_row,var_updates_per_row,max_updates_on_row
ffn_0,0,79992,4,4,19998.000000,310366608.500000,50430
ffn_0,1,79992,4,4,19998.000000,338697682.000000,51650
head_0_0_V,0,279972,96,256,1093.640625,10508734.550537,28004
head_0_0_V,1,279972,80,256,1093.640625,12193777.456787,36832
output,0,79992,4,4,19998.000000,342278643.500000,49170
output,1,79992,4,4,19998.000000,827472817.500000,69545
